text,ground_truth,raw_response,predicted,correct
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,"{""reasoning"": ""Contains a link to a website with a prize jackpot, and a text-to-number call-back function."", ""verdict"": 1}",1,True
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,1,"{""reasoning"": ""Urgency keyword and premium phone number."", ""verdict"": 1}",1,True
Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!,1,"{""reasoning"": ""Unsolicited offer with a high prize amount"", ""verdict"": 0}",0,False
As in different styles?,0,"{""reasoning"": ""Multiple languages and formats, but not obvious signs of spam."", ""verdict"": 0}",0,True
"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",0,"{""reasoning"": ""Solicited request for information"", ""verdict"": 0}",0,True
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,1,"{""reasoning"": ""Offers premium rates, text-based offers with no spam indicators"", ""verdict"": 1}",1,True
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1,"{""reasoning"": ""Contains a personal message, no spam indicators."", ""verdict"": 0}",0,False
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,1,"{""reasoning"": ""Contains a call-to-action within the text, which suggests it's not spam."", ""verdict"": 0}",0,False
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,"{""reasoning"": ""Offers are direct, unambiguous calls for specific actions"", ""verdict"": 1}",1,True
Jus finish bathing...,0,"{""reasoning"": ""Text message containing a daily reminder for bathing."", ""verdict"": 0}",0,True
MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,0,"{""reasoning"": ""Friendly advice, no commercial or suspicious content."", ""verdict"": 0}",0,True
Yes:)sura in sun tv.:)lol.,0,"{""reasoning"": ""The message is a joke or play on words with both 'yes' and 'sun TV', which suggests it's not spam."", ""verdict"": 1}",1,False
You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,0,"{""reasoning"": ""Spam due to the content being a commercial offer."", ""verdict"": 1}",1,False
I love u 2 my little pocy bell I am sorry but I love u,0,"{""reasoning"": ""Text message contains affectionate language and no commercial or suspicious content."", ""verdict"": 0}",0,True
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,"{""reasoning"": ""Offers additional text messages for a premium rate, which is not consistent with normal usage."", ""verdict"": 1}",1,True
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,1,"{""reasoning"": ""Urgent message, guaranteed cash prize, and specific phone number."", ""verdict"": 1}",1,True
Watching telugu movie..wat abt u?,0,"{""reasoning"": ""User is asking about a movie, not part of the provided text."", ""verdict"": 0}",0,True
"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",1,"{""reasoning"": ""Offer for £2,000 Xmas prize, offers to call for it, and premium rates"", ""verdict"": 1}",1,True
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,1,"{""reasoning"": ""Contains spam content and personal communication."", ""verdict"": 0}",0,False
I AM AT A PARTY WITH ALEX NICHOLS,0,"{""reasoning"": ""Spam, mentions of friends or a party."", ""verdict"": 0}",0,True
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0,"{""reasoning"": ""Personal message with no commercial or suspicious content."", ""verdict"": 0}",0,True
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1,"{""reasoning"": ""Contains a promotional offer, text-to-number call to action, and typical spam language."", ""verdict"": 1}",1,True
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800,1,"{""reasoning"": ""Spam due to the presence of a personal message containing free minutes in India, suggesting that the content might be promotional for mobile services."", ""verdict"": 1}",1,True
Its too late:)but its k.wish you the same.,0,"{""reasoning"": ""Sent in a casual, informal tone and includes the user's name with a wish for them to have similar experiences."", ""verdict"": 1}",1,False
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,1,"{""reasoning"": ""Infringes user's privacy and consents"", ""verdict"": 0}",0,False
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",0,"{""reasoning"": ""Text message with positive vibes and enthusiastic tone."", ""verdict"": 0}",0,True
Whos this am in class:-),0,"{""reasoning"": ""User is asking about a character, which could indicate they are spamming. However, the message does not contain any of the typical spam indicators or phrases that would typically appear on a spam email or text."", ""verdict"": 0}",0,True
"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL",1,"{""reasoning"": ""Offers to stop club tone services, price and usage information."", ""verdict"": 1}",1,True
No need lar i go engin? Cos my sis at arts today...,0,"{""reasoning"": ""Lack of commercial or suspicious content, not a call-to-action, and does not contain any spam indicators."", ""verdict"": 0}",0,True
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",0,"{""reasoning"": ""Contains promotional message with a gift card and mentions diet for healthy lifestyle."", ""verdict"": 0}",0,True
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1,"{""reasoning"": ""Contains a personal message with no commercial or suspicious content."", ""verdict"": 0}",0,False
"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",0,"{""reasoning"": ""Not a spam message due to the informal and casual nature of the communication."", ""verdict"": 0}",0,True
it to 80488. Your 500 free text messages are valid until 31 December 2005.,1,"{""reasoning"": ""Urgency keyword, money prize, and premium phone number."", ""verdict"": 1}",1,True
Oh wow thats gay. Will firmware update help,0,"{""reasoning"": ""Spam message containing sexually explicit content."", ""verdict"": 0}",0,True
You have an important customer service announcement from PREMIER.,1,"{""reasoning"": ""The content is a promotional message and not spam, as it contains a call to action with the premium phone number."", ""verdict"": 1}",1,True
Webpage s not available!,0,"{""reasoning"": ""User is trying to communicate with a website, which may indicate the user is in an online environment and might pose as spam."", ""verdict"": 1}",1,False
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,1,"{""reasoning"": ""Contains a message from someone claiming to be your bank, the message is not related to money or offers."", ""verdict"": 0}",0,False
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1,"{""reasoning"": ""User is trying to communicate with another user via a text message."", ""verdict"": 0}",0,False
"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",1,"{""reasoning"": ""Contains a free ring tone offer, and the message is for personal communication."", ""verdict"": 0}",0,False
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1,"{""reasoning"": ""Contains financial offer"", ""verdict"": 1}",1,True
Convey my regards to him,0,"{""reasoning"": ""The message is a casual social media message without any commercial or suspicious content."", ""verdict"": 0}",0,True
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1,"{""reasoning"": ""Offers free minutes and national rates, possibly spam."", ""verdict"": 0}",0,False
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,0,"{""reasoning"": ""Contains a payment confirmation link, suggesting it might be spam."", ""verdict"": 0}",0,True
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,1,"{""reasoning"": ""Spam, contains a fake phone number and offers with no personal contact."", ""verdict"": 0}",0,False
Were trying to find a Chinese food place around here,0,"{""reasoning"": ""User wants to know about nearby Chinese restaurants, not an SMS for hotel bookings or other services."", ""verdict"": 0}",0,True
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,1,"{""reasoning"": ""Contains a prize offer for $1,000 and a coupon code for a trip to the UK."", ""verdict"": 1}",1,True
I'm going 2 orchard now laready me reaching soon. U reaching?,0,"{""reasoning"": ""Contains personal message with no commercial or suspicious content."", ""verdict"": 0}",0,True
Hey come online! Use msn... We are all there,0,"{""reasoning"": ""Spam message with a personal contact, no special language or content."", ""verdict"": 0}",0,True
URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,1,"{""reasoning"": ""Urgent offer with bonus prize in SMS format, no spam indicators."", ""verdict"": 0}",0,False
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",0,"{""reasoning"": ""Contains explicit language and personalizes the message with a romantic reference."", ""verdict"": 1}",1,False
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0,"{""reasoning"": ""Landline numbers are not common and could potentially be scams, especially for personal or financial purposes."", ""verdict"": 0}",0,True
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,1,"{""reasoning"": ""Offers a free product with no additional charges or claims."", ""verdict"": 1}",1,True
I'm really sorry I lit your hair on fire,0,"{""reasoning"": ""Spam due to offensive language."", ""verdict"": 1}",1,False
"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",0,"{""reasoning"": ""No unsolicited commercial or suspicious content."", ""verdict"": 0}",0,True
"Hmm well, night night ",0,"{""reasoning"": ""The message is a casual text conversation in which the user is asking for a phone number prize, which could indicate it's not spam."", ""verdict"": 0}",0,True
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,1,"{""reasoning"": ""Contains a call-to-action and a promotional offer, likely for a premium service."", ""verdict"": 1}",1,True
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",1,"{""reasoning"": ""Contains a promotional offer and an urgent call-to-action number."", ""verdict"": 1}",1,True
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,1,"{""reasoning"": ""Contains a message with a personal contact and no spam indicators."", ""verdict"": 1}",1,True
I have printed it oh. So  &lt;#&gt;  come upstairs,0,"{""reasoning"": ""No obvious spam indicators, but the message appears to contain an asterisk (*) followed by a question mark (&lt;#&gt;) which may be intended as an exclamation mark. Therefore, this could potentially be a spam message."", ""verdict"": 1}",1,False
Also hi wesley how've you been,0,"{""reasoning"": ""Spam due to the informal tone and lack of commercial or suspicious content."", ""verdict"": 1}",1,False
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,1,"{""reasoning"": ""This message is asking for a special promotion with a value, which is typical spam behavior."", ""verdict"": 1}",1,True
Well welp is sort of a semiobscure internet thing,0,"{""reasoning"": ""Text message discussing the meaning or purpose of a word or phrase, which does not appear to contain any commercial or suspicious content."", ""verdict"": 0}",0,True
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",1,"{""reasoning"": ""Contains a commercial and offers a bonus, which are typical spam content."", ""verdict"": 1}",1,True
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,0,"{""reasoning"": ""No specific message or request given, no spam indicators."", ""verdict"": 0}",0,True
todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,1,"{""reasoning"": ""The message is soliciting a prize by calling a specific phone number, which is typical of spam."", ""verdict"": 0}",0,False
"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",1,"{""reasoning"": ""Offers are in text form without any advertisements or links"", ""verdict"": 0}",0,False
i am seeking a lady in the street and a freak in the sheets. Is that you?,0,"{""reasoning"": ""Contains explicit language and content, not suitable for all users."", ""verdict"": 0}",0,True
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,0,"{""reasoning"": ""Spam due to the strong emotional content, long message length without a closing"", ""verdict"": 1}",1,False
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1,"{""reasoning"": ""Offers with clear price, start and end numbers, and a premium short code."", ""verdict"": 1}",1,True
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",1,"{""reasoning"": ""Urgency keyword and premium offer with a short code."", ""verdict"": 1}",1,True
The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,0,"{""reasoning"": ""Long-form text, no commercial or suspicious content."", ""verdict"": 1}",1,False
Get ready for  &lt;#&gt;  inches of pleasure...,0,"{""reasoning"": ""No personal information or commercial content"", ""verdict"": 0}",0,True
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",1,"{""reasoning"": ""Contains a prize offer with a special code and a premium number."", ""verdict"": 1}",1,True
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",1,"{""reasoning"": ""Contains a financial offer with the phrase 'FOR NOTHING!' and no other suspicious language."", ""verdict"": 1}",1,True
Another month. I need chocolate weed and alcohol.,0,"{""reasoning"": ""Contains personal messaging with no commercial or suspicious content."", ""verdict"": 0}",0,True
"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",1,"{""reasoning"": ""Offers and discounts are mentioned in the text."", ""verdict"": 1}",1,True
FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,1,"{""reasoning"": ""Unsolicited competition offer with a premium-rate short code."", ""verdict"": 1}",1,True
K then 2marrow are you coming to class.,0,"{""reasoning"": ""Contains casual personal message with no commercial or suspicious content."", ""verdict"": 0}",0,True
Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,0,"{""reasoning"": ""Spam due to the lack of personalization, text format issue, and no indication that it's part of a larger conversation."", ""verdict"": 0}",0,True
Sorry about that this is my mates phone and i didnt write it love Kate,0,"{""reasoning"": ""Spam due to personal message with no commercial or suspicious content."", ""verdict"": 0}",0,True
"No, I was trying it all weekend ;V",0,"{""reasoning"": ""The message contains a casual informal statement with no commercial or suspicious content."", ""verdict"": 0}",0,True
You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,1,"{""reasoning"": ""Casual text message with no commercial or suspicious content."", ""verdict"": 0}",0,False
"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",1,"{""reasoning"": ""Urgency keyword, money prize, and premium phone number."", ""verdict"": 1}",1,True
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",0,"{""reasoning"": ""Spam message with profanity and personalization"", ""verdict"": 1}",1,False
Let me know when you've got the money so carlos can make the call,0,"{""reasoning"": ""Message contains a personal message with no commercial or suspicious content."", ""verdict"": 0}",0,True
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,0,"{""reasoning"": ""Contains personal message with no commercial or suspicious content."", ""verdict"": 0}",0,True
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,1,"{""reasoning"": ""Sends an invitation to participate in a sex party"", ""verdict"": 0}",0,False
Thank you baby! I cant wait to taste the real thing...,0,"{""reasoning"": ""No suspicious content or commercial keywords."", ""verdict"": 0}",0,True
"They can try! They can get lost, in fact. Tee hee",0,"{""reasoning"": ""Text message containing a playful quote with no spam indicators."", ""verdict"": 0}",0,True
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,1,"{""reasoning"": ""Offers are offered to purchase items, like gardening supplies or products, without requiring direct interaction"", ""verdict"": 1}",1,True
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",0,"{""reasoning"": ""Contains explicit content about nudity."", ""verdict"": 0}",0,True
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,"{""reasoning"": ""Offered a large sum of money and a premium phone number"", ""verdict"": 1}",1,True
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,1,"{""reasoning"": ""Contains a link to apply online at Bloomerang, which is a job board."", ""verdict"": 1}",1,True
Its a part of checking IQ,0,"{""reasoning"": ""Spam because it's soliciting a personal benefit, not to compete for prizes."", ""verdict"": 0}",0,True
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,1,"{""reasoning"": ""Urgency keyword, money prize, and premium phone number."", ""verdict"": 1}",1,True
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,"{""reasoning"": ""Urgency keyword, money prize, and premium phone number."", ""verdict"": 1}",1,True
I HAVE A DATE ON SUNDAY WITH WILL!!,0,"{""reasoning"": ""Contains a personal message with no commercial or suspicious content."", ""verdict"": 0}",0,True
Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,0,"{""reasoning"": ""Contains questions about a person and their appearance, no commercial or suspicious content."", ""verdict"": 0}",0,True
WHITE FUDGE OREOS ARE IN STORES,0,"{""reasoning"": ""Contains spam keywords and message."", ""verdict"": 1}",1,False
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",1,"{""reasoning"": ""Unsolicited advertisement with a competitive offer and a specific date."", ""verdict"": 0}",0,False
Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!,1,"{""reasoning"": ""Offers money as a special prize, and calls for immediate action."", ""verdict"": 1}",1,True
Guessin you ain't gonna be here before 9?,0,"{""reasoning"": ""Contains a request for a meeting or event, which is unusual and suspicious."", ""verdict"": 0}",0,True
Ok.,0,"{""reasoning"": ""Contains a link to an external website with no commercial or suspicious content."", ""verdict"": 1}",1,False
"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",1,"{""reasoning"": ""Contains flirtatious and suggestive language, no specific content or spam indicators."", ""verdict"": 0}",0,False
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,1,"{""reasoning"": ""Contains explicit content about intimate behavior and unwanted contact with the user, which is unsolicited and inappropriate."", ""verdict"": 1}",1,True
Jokin only lar... :-) depends on which phone my father can get lor...,0,"{""reasoning"": ""Spam with a misspelled name and emoticon."", ""verdict"": 1}",1,False
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,"{""reasoning"": ""Contains a special offer for a cinema pass with a premium phone number."", ""verdict"": 1}",1,True
Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,1,"{""reasoning"": ""Offers a paid music subscription instead of a freemium model."", ""verdict"": 0}",0,False
Cuz ibored. And don wanna study,0,"{""reasoning"": ""Text message contains no personal information or commercial messages."", ""verdict"": 0}",0,True
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,1,"{""reasoning"": ""Contains promotional offer with a premium phone number."", ""verdict"": 1}",1,True
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,0,"{""reasoning"": ""Contains a message with special characters and unusual formatting."", ""verdict"": 0}",0,True
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,"{""reasoning"": ""Spam message containing an offer for a transaction and using multiple parties."", ""verdict"": 1}",1,True
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,0,"{""reasoning"": ""Contains offensive and sexual language, and the message is clearly a complaint or request."", ""verdict"": 1}",1,False
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,1,"{""reasoning"": ""Offer includes a discount, a free camera phone upgrade, and calls for an estimated four months."", ""verdict"": 1}",1,True
What * u wearing?,0,"{""reasoning"": ""Spam as it contains a generic question."", ""verdict"": 1}",1,False
Do have a nice day today. I love you so dearly.,0,"{""reasoning"": ""Text message with personal farewell, no commercial or suspicious content."", ""verdict"": 0}",0,True
